requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
665945,B라인3번거더,16290.441,593.159,0.274,15632.49,583.686,0.274,12,12,658.02,4.5,16290.269,605.158,0.273,15632.317,595.685,0.274,12,12,658.02,4.5
667181,B라인3번거더,15714.572,5210.288,-0.284,16372.503,5221.075,-0.305,12,12,658.02,4.5,15714.769,5198.29,-0.275,16372.7,5209.076,-0.296,12,12,658.02,4.5
668330,B라인3번거더,15728.424,4365.402,0.329,16386.355,4376.188,0.308,12,12,658.02,4.5,15728.621,4353.403,0.338,16386.552,4364.19,0.317,12,12,658.02,4.5
669541,B라인3번거더,16355.951,2780.337,0.122,16394.217,122.596,0.307,12,12,2658.016,4.5,16343.953,2780.164,0.122,16382.218,122.424,0.307,12,12,2658.016,4.5
671809,B라인3번거더,16460.238,1440.691,0.215,17118.19,1450.164,0.215,12,12,658.02,4.5,16460.065,1452.69,0.214,17118.017,1462.163,0.214,12,12,658.02,4.5
672996,B라인3번거더,16493.317,3036.754,1.278,16456.229,5298.902,-0.363,12,12,2262.452,4.5,16505.315,3036.951,1.278,16468.227,5299.098,-0.363,12,12,2262.452,4.5
675162,B라인3번거더,16568.508,4367.173,0.311,16971.464,4373.78,0.299,12,12,403.01,4.5,16568.311,4379.172,0.303,16971.267,4385.778,0.29,12,12,403.01,4.5
677956,B라인3번거더,16971.464,4373.78,0.299,17226.439,4377.96,0.291,12,12,255.01,4.5,16971.267,4385.778,0.29,17226.242,4389.958,0.282,12,12,255.01,4.5
679605,B라인3번거더,17195.864,2792.429,0.121,17234.13,134.689,0.306,12,12,2658.016,4.5,17183.866,2792.257,0.121,17222.131,134.516,0.306,12,12,2658.016,4.5
680983,B라인3번거더,17293.284,1929.735,0.181,17951.236,1939.208,0.181,12,12,658.02,4.5,17293.111,1941.733,0.18,17951.063,1951.206,0.18,12,12,658.02,4.5
682718,B라인3번거더,17333.204,3050.524,1.252,17296.342,5298.902,-0.379,12,12,2248.68,4.5,17345.203,3050.721,1.251,17308.34,5299.099,-0.379,12,12,2248.68,4.5
684016,B라인3번거더,17307.004,976.833,0.247,17964.955,986.306,0.247,12,12,658.02,4.5,17306.831,988.832,0.247,17964.782,998.305,0.246,12,12,658.02,4.5
685376,B라인3번거더,17400.379,4869.877,-0.07,18058.31,4880.664,-0.09,12,12,658.02,4.5,17400.576,4857.879,-0.061,18058.507,4868.666,-0.082,12,12,658.02,4.5
686843,B라인3번거더,17416.018,3916.006,0.622,18073.949,3926.793,0.602,12,12,658.02,4.5,17416.215,3904.007,0.631,18074.146,3914.794,0.61,12,12,658.02,4.5
688326,B라인3번거더,18035.799,2803.022,0.121,18074.021,148.282,0.305,12,12,2655.016,4.5,18023.8,2802.85,0.121,18062.022,148.109,0.305,12,12,2655.016,4.5
689476,B라인3번거더,18129.598,2191.801,0.163,19817.443,2216.102,0.162,12,12,1688.02,4.5,18129.425,2203.8,0.162,19817.27,2228.101,0.161,12,12,1688.02,4.5
690580,B라인3번거더,19827.909,1489.178,0.213,18140.064,1464.877,0.214,12,12,1688.02,4.5,19827.736,1501.177,0.212,18139.891,1476.876,0.213,12,12,1688.02,4.5
692019,B라인3번거더,18173.067,3065.794,1.224,18136.455,5298.902,-0.395,12,12,2233.408,4.5,18185.065,3065.991,1.224,18148.453,5299.098,-0.396,12,12,2233.408,4.5
693199,B라인3번거더,18149.134,834.942,0.258,18807.085,844.415,0.257,12,12,658.02,4.5,18148.961,846.941,0.257,18806.912,856.414,0.256,12,12,658.02,4.5
694273,B라인3번거더,18237.758,5036.627,-0.207,18895.689,5047.413,-0.228,12,12,658.02,4.5,18237.955,5024.628,-0.198,18895.886,5035.415,-0.219,12,12,658.02,4.5
695406,B라인3번거더,18248.086,4406.712,0.25,19935.378,4434.375,0.197,12,12,1687.52,4.5,18248.282,4394.713,0.259,19935.575,4422.376,0.206,12,12,1687.52,4.5
696590,B라인3번거더,18260.003,3679.809,0.777,19947.296,3707.473,0.724,12,12,1687.52,4.5,18260.2,3667.811,0.786,19947.493,3695.474,0.733,12,12,1687.52,4.5
697787,B라인3번거더,18896.219,1390.763,0.219,18913.934,160.375,0.305,12,12,1230.516,4.5,18884.22,1390.59,0.219,18901.935,160.202,0.305,12,12,1230.516,4.5
698831,B라인3번거더,18989.602,4503.872,0.165,18976.568,5298.902,-0.412,,,795.136,4.5,19001.601,4504.069,0.165,18988.566,5299.098,-0.412,,,795.136,4.5
106974,B라인3번거더,15577.74,1394.777,0.836,15029.727,1392.078,0.781,12,12,548.02,4.5,15577.681,1406.777,0.84,15029.668,1404.077,0.785,12,12,548.02,4.5
109730,B라인3번거더,15235.37,2983.997,-0.612,15232.29,5299.008,-2.192,12,12,2315.013,4.5,15223.37,2983.981,-0.616,15220.29,5298.992,-2.196,12,12,2315.013,4.5
111833,B라인3번거더,15318.611,4299.117,-1.48,15866.63,4299.846,-1.294,12,12,548.02,4.5,15318.595,4311.117,-1.488,15866.614,4311.846,-1.302,12,12,548.02,4.5
113564,B라인3번거더,15668.192,2722.247,1.249,15681.267,68.263,0.442,12,12,2654.016,4.5,15656.192,2722.188,1.248,15669.267,68.204,0.441,12,12,2654.016,4.5
114752,B라인3번거더,15759.718,1395.674,0.854,16307.731,1398.374,0.909,12,12,548.02,4.5,15759.659,1407.674,0.858,16307.672,1410.373,0.913,12,12,548.02,4.5
116088,B라인3번거더,16311.953,541.384,0.649,15763.94,538.684,0.594,12,12,548.02,4.5,16311.894,553.384,0.653,15763.881,550.684,0.597,12,12,548.02,4.5
118549,B라인3번거더,15965.37,2984.969,-0.363,15962.291,5299.008,-1.943,12,12,2314.042,4.5,15953.37,2984.953,-0.367,15950.291,5298.992,-1.947,12,12,2314.042,4.5
120731,B라인3번거더,16048.61,4300.088,-1.232,16596.629,4300.817,-1.045,12,12,548.02,4.5,16048.594,4312.088,-1.24,16596.613,4312.817,-1.053,12,12,548.02,4.5
122473,B라인3번거더,16398.183,2725.843,1.322,16411.258,71.86,0.516,12,12,2654.016,4.5,16386.183,2725.784,1.321,16399.258,71.801,0.515,12,12,2654.016,4.5
123846,B라인3번거더,16489.71,1399.27,0.928,17037.722,1401.97,0.983,12,12,548.02,4.5,16489.65,1411.27,0.931,17037.663,1413.97,0.986,12,12,548.02,4.5
126165,B라인3번거더,16695.369,2985.94,-0.115,16692.292,5299.008,-1.694,12,12,2313.07,4.5,16683.369,2985.924,-0.119,16680.292,5298.992,-1.698,12,12,2313.07,4.5
128149,B라인3번거더,16778.61,4301.06,-0.983,17326.629,4301.789,-0.797,12,12,548.02,4.5,16778.594,4313.06,-0.992,17326.613,4313.789,-0.805,12,12,548.02,4.5
130101,B라인3번거더,17128.174,2729.439,1.396,17141.249,75.456,0.589,12,12,2654.016,4.5,17116.174,2729.38,1.395,17129.249,75.397,0.588,12,12,2654.016,4.5
131581,B라인3번거더,17215.538,2247.856,1.258,17763.551,2250.556,1.313,12,12,548.02,4.5,17215.479,2259.856,1.262,17763.492,2262.556,1.317,12,12,548.02,4.5
133180,B라인3번거더,17219.701,1402.866,1.001,17767.714,1405.566,1.056,12,12,548.02,4.5,17219.642,1414.866,1.005,17767.654,1417.566,1.06,12,12,548.02,4.5
135186,B라인3번거더,17425.368,2986.912,0.134,17422.292,5299.008,-1.444,12,12,2312.099,4.5,17413.368,2986.896,0.13,17410.292,5298.992,-1.449,12,12,2312.099,4.5
136912,B라인3번거더,17508.609,4302.031,-0.735,18056.63,4302.76,-0.549,12,12,548.021,4.5,17508.593,4314.031,-0.743,18056.614,4314.76,-0.557,12,12,548.021,4.5
138451,B라인3번거더,18057.754,3457.761,0.028,17509.733,3457.032,-0.158,12,12,548.021,4.5,18057.738,3469.761,0.02,17509.717,3469.032,-0.166,12,12,548.021,4.5
140469,B라인3번거더,17858.165,2733.036,1.469,17871.24,79.052,0.663,12,12,2654.016,4.5,17846.165,2732.976,1.468,17859.24,78.993,0.661,12,12,2654.016,4.5
142274,B라인3번거더,17949.692,1406.463,1.075,19227.698,1412.759,1.203,12,12,1278.021,4.5,17949.633,1418.462,1.078,19227.639,1424.758,1.207,12,12,1278.021,4.5
144138,B라인3번거더,18155.37,2987.883,0.382,18152.295,5299.008,-1.195,12,12,2311.128,4.5,18143.37,2987.867,0.378,18140.295,5298.992,-1.199,12,12,2311.128,4.5
145585,B라인3번거더,18238.61,4303.003,-0.487,18786.629,4303.732,-0.3,12,12,548.02,4.5,18238.594,4315.003,-0.495,18786.613,4315.732,-0.308,12,12,548.02,4.5
147319,B라인3번거더,18882.295,5299.008,-0.946,18885.369,2988.855,0.63,12,12,2310.156,4.5,18870.295,5298.992,-0.95,18873.369,2988.839,0.626,12,12,2310.156,4.5
148611,B라인3번거더,18968.61,4303.974,-0.238,19516.629,4304.703,-0.052,12,12,548.02,4.5,18968.594,4315.974,-0.246,19516.613,4316.703,-0.06,12,12,548.02,4.5
150874,B라인3번거더,19318.15,2740.228,1.616,19331.224,86.245,0.81,12,12,2654.016,4.5,19306.15,2740.169,1.615,19319.224,86.186,0.808,12,12,2654.016,4.5
722642,B라인3번거더,19409.676,1413.655,1.221,19957.689,1416.355,1.277,12,12,548.02,4.5,19409.617,1425.655,1.225,19957.63,1428.355,1.28,12,12,548.02,4.5
724393,B라인3번거더,19615.368,2989.826,0.879,19612.296,5299.008,-0.697,12,12,2309.185,4.5,19603.368,2989.81,0.875,19600.296,5298.992,-0.701,12,12,2309.185,4.5
725650,B라인3번거더,19697.469,5161.944,-0.575,20245.488,5162.674,-0.388,12,12,548.02,4.5,19697.453,5173.944,-0.583,20245.472,5174.674,-0.396,12,12,548.02,4.5
726756,B라인3번거더,20246.628,4305.675,0.197,19698.609,4304.945,0.01,12,12,548.02,4.5,20246.612,4317.675,0.188,19698.593,4316.945,0.002,12,12,548.02,4.5
729269,B라인3번거더,20048.141,2743.824,1.69,20061.215,89.841,0.883,12,12,2654.016,4.5,20036.141,2743.765,1.688,20049.216,89.782,0.882,12,12,2654.016,4.5
731031,B라인3번거더,20139.667,1417.251,1.295,20687.68,1419.951,1.35,12,12,548.02,4.5,20139.608,1429.251,1.298,20687.621,1431.951,1.354,12,12,548.02,4.5
732308,B라인3번거더,20345.368,2990.797,1.127,20342.297,5299.008,-0.448,12,12,2308.213,4.5,20333.368,2990.781,1.123,20330.297,5298.992,-0.452,12,12,2308.213,4.5
733276,B라인3번거더,20428.608,4305.917,0.259,20976.627,4306.646,0.445,12,12,548.02,4.5,20428.592,4317.917,0.25,20976.611,4318.646,0.437,12,12,548.02,4.5
735552,B라인3번거더,20778.132,2747.421,1.763,20791.207,93.437,0.956,12,12,2654.016,4.5,20766.132,2747.361,1.762,20779.207,93.378,0.955,12,12,2654.016,4.5
737703,B라인3번거더,20869.658,1420.848,1.368,21222.664,1422.587,1.404,12,12,353.01,4.5,20869.599,1432.847,1.372,21222.605,1434.587,1.407,12,12,353.01,4.5
739867,B라인3번거더,20873.24,693.856,1.147,21226.245,695.596,1.183,12,12,353.01,4.5,20873.181,705.856,1.151,21226.186,707.595,1.186,12,12,353.01,4.5
740907,B라인3번거더,21075.368,2991.269,1.376,21072.297,5299.008,-0.199,12,12,2307.742,4.5,21063.368,2991.253,1.372,21060.297,5298.992,-0.203,12,12,2307.742,4.5
741958,B라인3번거더,21158.607,4306.888,0.507,21531.627,4307.385,0.634,12,12,373.02,4.5,21158.591,4318.888,0.499,21531.611,4319.385,0.626,12,12,373.02,4.5
743985,B라인3번거더,21428.124,2750.623,1.828,21434.183,1520.622,1.455,12,12,1230.016,4.5,21416.124,2750.564,1.827,21422.184,1520.563,1.453,12,12,1230.016,4.5
779538,B라인3번거더,15420.604,4294.529,-1.458,15067.616,4290.575,-1.555,12,12,353.01,4.5,15420.47,4306.529,-1.466,15067.482,4302.574,-1.564,12,12,353.01,4.5
782397,B라인3번거더,15428.747,3567.575,-0.941,15075.76,3563.621,-1.038,12,12,353.01,4.5,15428.613,3579.574,-0.949,15075.625,3575.62,-1.046,12,12,353.01,4.5
783723,B라인3번거더,15151.445,2682.249,-3.348,15175.488,27.343,-4.454,12,12,2655.016,4.5,15139.446,2682.141,-3.354,15163.489,27.234,-4.46,12,12,2655.016,4.5
784690,B라인3번거더,15248.454,1355.566,-3.859,15796.451,1360.528,-3.589,12,12,548.02,4.5,15248.345,1367.565,-3.854,15796.342,1372.528,-3.584,12,12,548.02,4.5
787616,B라인3번거더,15532.452,2968.692,-0.487,15506.348,5299.067,-2.145,12,12,2330.523,4.5,15520.453,2968.557,-0.49,15494.348,5298.933,-2.148,12,12,2330.523,4.5
790095,B라인3번거더,15602.573,4296.568,-1.407,16150.558,4302.706,-1.256,12,12,548.02,4.5,15602.439,4308.567,-1.416,16150.424,4314.706,-1.265,12,12,548.02,4.5
791969,B라인3번거더,15881.42,2688.36,-2.989,15905.454,34.453,-4.094,12,12,2654.016,4.5,15869.42,2688.251,-2.994,15893.454,34.345,-4.1,12,12,2654.016,4.5
