requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
587411,B라인1번거더,3499.56,2218.074,2.662,2571.629,2204.345,2.895,12,12,928.032,4.5,3499.737,2206.076,2.663,2571.807,2192.347,2.896,12,12,928.032,4.5
589178,B라인1번거더,2584.13,1359.438,2.953,3512.061,1373.167,2.72,12,12,928.032,4.5,2584.308,1347.439,2.953,3512.238,1361.168,2.721,12,12,928.032,4.5
591052,B라인1번거더,3522.742,651.246,2.769,2594.811,637.517,3.002,12,12,928.032,4.5,3522.919,639.247,2.77,2594.989,625.518,3.003,12,12,928.032,4.5
593626,B라인1번거더,2898.571,3699.995,1.533,2881.072,5298.935,2.267,12,12,1599.035,4.5,2910.57,3700.126,1.534,2893.072,5299.066,2.268,12,12,1599.035,4.5
595422,B라인1번거더,2988.661,4331.026,1.832,3721.637,4339.048,1.908,12,12,733.02,4.5,2988.792,4319.027,1.826,3721.768,4327.049,1.902,12,12,733.02,4.5
597539,B라인1번거더,3577.558,2691.288,2.609,3616.881,33.563,2.791,12,12,2658.016,4.5,3589.557,2691.465,2.606,3628.88,33.741,2.788,12,12,2658.016,4.5
599420,B라인1번거더,3681.521,2220.767,2.617,4339.478,2230.501,2.452,12,12,658.029,4.5,3681.699,2208.768,2.618,4339.655,2218.503,2.453,12,12,658.029,4.5
601256,B라인1번거더,3694.022,1375.859,2.675,4351.979,1385.594,2.51,12,12,658.029,4.5,3694.2,1363.86,2.676,4352.156,1373.595,2.511,12,12,658.029,4.5
603180,B라인1번거더,3821.297,2999.051,1.301,3796.127,5298.934,2.357,12,12,2300.022,4.5,3833.296,2999.182,1.302,3808.127,5299.065,2.358,12,12,2300.022,4.5
604659,B라인1번거더,3894.359,5185.989,2.315,4552.339,5193.189,2.383,12,12,658.02,4.5,3894.491,5173.989,2.309,4552.471,5181.19,2.377,12,12,658.02,4.5
606052,B라인1번거더,4561.586,4348.24,1.995,3903.606,4341.039,1.927,12,12,658.02,4.5,4561.718,4336.241,1.989,3903.738,4329.04,1.921,12,12,658.02,4.5
607906,B라인1번거더,4417.476,2703.715,2.398,4456.799,45.99,2.58,12,12,2658.016,4.5,4429.475,2703.892,2.396,4468.798,46.168,2.578,12,12,2658.016,4.5
611241,B라인1번거더,4533.94,1388.286,2.464,5191.897,1398.021,2.3,12,12,658.029,4.5,4534.118,1376.287,2.465,5192.075,1386.022,2.301,12,12,658.029,4.5
612839,B라인1번거더,4661.246,3008.243,1.388,4636.178,5298.934,2.44,12,12,2290.829,4.5,4673.246,3008.374,1.389,4648.177,5299.066,2.441,12,12,2290.829,4.5
615765,B라인1번거더,4743.556,4350.231,2.014,5401.536,4357.432,2.082,12,12,658.02,4.5,4743.687,4338.232,2.008,5401.667,4345.433,2.076,12,12,658.02,4.5
617923,B라인1번거더,5257.395,2716.142,2.189,5296.717,58.417,2.371,12,12,2658.016,4.5,5269.393,2716.319,2.185,5308.716,58.595,2.367,12,12,2658.016,4.5
619588,B라인1번거더,5366.802,1877.661,2.222,6024.758,1887.396,2.057,12,12,658.029,4.5,5366.979,1865.662,2.223,6024.936,1875.397,2.058,12,12,658.029,4.5
621286,B라인1번거더,5380.915,923.765,2.287,6038.872,933.5,2.122,12,12,658.029,4.5,5381.093,911.767,2.288,6039.049,921.501,2.123,12,12,658.029,4.5
623132,B라인1번거더,5501.196,3017.435,1.475,5476.228,5298.935,2.522,12,12,2281.637,4.5,5513.195,3017.566,1.476,5488.227,5299.066,2.523,12,12,2281.637,4.5
624585,B라인1번거더,5578.297,4835.395,2.319,6236.277,4842.596,2.387,12,12,658.02,4.5,5578.428,4823.396,2.313,6236.408,4830.596,2.382,12,12,658.02,4.5
626031,B라인1번거더,5588.725,3882.452,1.881,6246.706,3889.653,1.95,12,12,658.02,4.5,5588.857,3870.453,1.876,6246.837,3877.654,1.944,12,12,658.02,4.5
627681,B라인1번거더,6097.335,2727.069,1.979,6136.613,72.344,2.161,12,12,2655.016,4.5,6109.334,2727.247,1.975,6148.612,72.522,2.157,12,12,2655.016,4.5
629237,B라인1번거더,6204.457,2043.071,2.001,6862.413,2052.806,1.837,12,12,658.029,4.5,6204.634,2031.073,2.002,6862.591,2040.807,1.838,12,12,658.029,4.5
630796,B라인1번거더,6213.777,1413.14,2.044,7898.634,1438.069,1.623,12,12,1685.041,4.5,6213.954,1401.141,2.045,7898.811,1426.07,1.623,12,12,1685.041,4.5
