requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
835239,B라인1번거더,507.406,1228.314,8.995,2573.418,1296.325,8.435,10,10,2067.132,5,507.076,1238.306,8.818,2573.089,1306.318,8.258,10,10,2067.132,5
835239,B라인1번거더,507.406,1228.314,8.995,2573.418,1296.325,8.435,10,10,2067.132,5,507.076,1238.306,8.818,2573.089,1306.318,8.258,10,10,2067.132,5
836738,B라인1번거더,527.643,549.611,8.122,2592.918,547.289,8.21,10,10,2065.277,5,527.654,559.611,8.026,2592.929,557.288,8.114,10,10,2065.276,5
838213,B라인1번거더,553.69,3408.004,11.637,2620.806,3415.985,10.705,10,10,2067.132,5,553.651,3418.004,11.621,2620.768,3425.985,10.689,10,10,2067.132,5
839744,B라인1번거더,620.291,4496.461,13.613,2684.612,4433.663,11.512,10,10,2065.277,5,620.595,4506.456,13.556,2684.916,4443.658,11.454,10,10,2065.277,5
841169,B라인1번거더,4689.404,1365.981,7.862,2623.391,1297.97,8.422,10,10,2067.132,5,4689.074,1375.974,7.684,2623.062,1307.963,8.244,10,10,2067.132,5
842555,B라인1번거더,4708.193,544.91,8.301,2642.918,547.233,8.212,10,10,2065.277,5,4708.205,554.91,8.205,2642.929,557.232,8.117,10,10,2065.276,5
842555,B라인1번거더,2642.918,547.233,8.212,3844.024,545.882,8.264,10,10,1201.106,5,2642.929,557.232,8.117,3844.035,555.882,8.168,10,10,1201.106,5
843951,B라인1번거더,4737.922,3424.16,9.751,2670.806,3416.178,10.683,10,10,2067.132,5,4737.883,3434.159,9.735,2670.767,3426.178,10.666,10,10,2067.132,5
845318,B라인1번거더,4798.909,4369.345,9.359,2734.588,4432.143,11.461,10,10,2065.277,5,4799.213,4379.34,9.302,2734.893,4442.138,11.403,10,10,2065.277,5
847286,B라인1번거더,5801.755,4108.946,-1.011,5341.739,4107.37,-1.694,12,12,460.02,4.5,5801.714,4120.946,-1.01,5341.698,4119.369,-1.693,12,12,460.02,4.5
849428,B라인1번거더,5853.425,2744.1,-1.026,5844.666,5299.021,-0.868,12,12,2554.936,4.5,5841.425,2744.059,-1.044,5832.666,5298.98,-0.885,12,12,2554.936,4.5
850937,B라인1번거더,5883.735,4109.228,-0.889,6531.75,4111.449,0.072,12,12,648.02,4.5,5883.694,4121.227,-0.889,6531.709,4123.449,0.073,12,12,648.02,4.5
852747,B라인1번거더,6733.914,1850.381,4.779,5166.221,1818.409,5.512,12,12,1568.019,4.5,6734.158,1838.384,4.776,5166.465,1806.411,5.508,12,12,1568.019,4.5
854055,B라인1번거더,6748.431,1138.529,4.553,5180.739,1106.557,5.285,12,12,1568.019,4.5,6748.676,1126.532,4.549,5180.983,1094.559,5.281,12,12,1568.019,4.5
855299,B라인1번거더,6054.524,1077.383,4.863,6076.479,0.877,4.52,12,12,1076.73,4.5,6066.522,1077.628,4.857,6088.477,1.122,4.515,12,12,1076.73,4.5
857301,B라인1번거더,6583.42,2746.602,0.057,6574.67,5299.021,0.215,12,12,2552.433,4.5,6571.42,2746.561,0.039,6562.67,5298.98,0.198,12,12,2552.433,4.5
858630,B라인1번거더,6610.792,4968.741,0.247,7258.807,4970.962,1.208,12,12,648.02,4.5,6610.751,4980.74,0.248,7258.766,4982.962,1.209,12,12,648.02,4.5
859848,B라인1번거더,6613.73,4111.73,0.194,7261.745,4113.951,1.155,12,12,648.02,4.5,6613.689,4123.73,0.194,7261.704,4125.951,1.156,12,12,648.02,4.5
861086,B라인1번거더,6755.469,2509.489,4.973,6806.631,0.877,4.175,12,12,2509.133,4.5,6767.466,2509.734,4.967,6818.628,1.122,4.169,12,12,2509.133,4.5
862830,B라인1번거더,7313.415,2749.105,1.14,7304.673,5299.02,1.299,12,12,2549.93,4.5,7301.415,2749.064,1.123,7292.673,5298.979,1.281,12,12,2549.93,4.5
865697,B라인1번거더,7343.725,4114.232,1.277,7991.74,4116.454,2.239,12,12,648.02,4.5,7343.684,4126.232,1.278,7991.699,4128.454,2.239,12,12,648.02,4.5
866715,B라인1번거더,7485.318,2524.374,4.632,7536.783,0.877,3.829,12,12,2524.021,4.5,7497.315,2524.619,4.626,7548.781,1.122,3.823,12,12,2524.021,4.5
867912,B라인1번거더,7560.397,1147.587,4.171,8208.282,1160.801,3.869,12,12,648.02,4.5,7560.642,1135.59,4.168,8208.526,1148.803,3.865,12,12,648.02,4.5
81690,B라인1번거더,695.629,1295.608,2.821,335.611,1294.607,2.998,12,12,360.02,4.5,695.596,1307.608,2.825,335.577,1306.606,3.002,12,12,360.02,4.5
83748,B라인1번거더,796.219,1.017,2.301,788.929,2622.888,3.258,12,12,2621.881,4.5,784.219,0.983,2.307,776.929,2622.854,3.264,12,12,2621.881,4.5
631616,B라인1번거더,695.629,1295.608,2.821,335.611,1294.607,2.998,12,12,360.02,4.5,695.596,1307.608,2.825,335.577,1306.606,3.002,12,12,360.02,4.5
106656,B라인1번거더,1425.626,1297.638,2.463,877.609,1296.114,2.732,12,12,548.019,4.5,1425.593,1309.637,2.468,877.575,1308.114,2.736,12,12,548.02,4.5
110741,B라인1번거더,1526.222,1.017,1.942,1518.926,2624.918,2.9,12,12,2623.911,4.5,1514.222,0.983,1.948,1506.926,2624.884,2.906,12,12,2623.911,4.5
114069,B라인1번거더,1605.256,2143.14,2.683,2153.274,2144.664,2.414,12,12,548.02,4.5,1605.223,2155.14,2.687,2153.24,2156.664,2.418,12,12,548.02,4.5
118588,B라인1번거더,1607.606,1298.144,2.374,2155.623,1299.667,2.105,12,12,548.019,4.5,1607.572,1310.144,2.378,2155.59,1311.667,2.11,12,12,548.02,4.5
122248,B라인1번거더,2256.224,1.017,1.584,2248.923,2626.947,2.542,12,12,2625.941,4.5,2244.225,0.983,1.59,2236.923,2626.914,2.548,12,12,2625.941,4.5
125314,B라인1번거더,2337.603,1300.173,2.016,2885.62,1301.697,1.748,12,12,548.019,4.5,2337.569,1312.173,2.021,2885.587,1313.697,1.752,12,12,548.02,4.5
129268,B라인1번거더,2986.227,1.017,1.225,2978.92,2628.977,2.184,12,12,2627.971,4.5,2974.227,0.983,1.231,2966.92,2628.944,2.19,12,12,2627.971,4.5
132040,B라인1번거더,3067.6,1302.203,1.658,4545.613,1306.313,0.934,12,12,1478.019,4.5,3067.566,1314.203,1.663,4545.58,1318.313,0.938,12,12,1478.02,4.5
134936,B라인1번거더,3069.621,575.206,1.393,4547.635,579.316,0.669,12,12,1478.019,4.5,3069.588,587.206,1.397,4547.602,591.316,0.673,12,12,1478.02,4.5
140443,B라인1번거더,3923.866,4319.175,5.192,3563.846,4319.226,5.311,12,12,360.02,4.5,3923.868,4331.175,5.191,3563.848,4331.226,5.309,12,12,360.02,4.5
143799,B라인1번거더,3708.914,2632.007,1.827,3712.337,1400.981,1.378,12,12,1231.031,4.5,3696.915,2631.974,1.833,3700.338,1400.948,1.384,12,12,1231.031,4.5
149112,B라인1번거더,4020.67,2992.13,5.328,4020.994,5298.999,5.036,12,12,2306.869,4.5,4008.67,2992.132,5.332,4008.994,5299.0,5.04,12,12,2306.868,4.5
153252,B라인1번거더,4105.846,4319.15,5.132,4653.866,4319.072,4.952,12,12,548.019,4.5,4105.848,4331.15,5.131,4653.868,4331.072,4.951,12,12,548.02,4.5
158718,B라인1번거더,4750.994,5298.999,4.796,4750.67,2992.028,5.088,12,12,2306.971,4.5,4738.994,5299.0,4.8,4738.67,2992.03,5.092,12,12,2306.971,4.5
162539,B라인1번거더,4835.726,3462.032,5.001,5383.746,3461.955,4.82,12,12,548.02,4.5,4835.728,3474.032,4.999,5383.747,3473.955,4.819,12,12,548.02,4.5
165628,B라인1번거더,5383.866,4318.97,4.712,4835.846,4319.047,4.892,12,12,548.02,4.5,5383.868,4330.97,4.71,4835.848,4331.047,4.891,12,12,548.02,4.5
169289,B라인1번거더,5458.264,1806.559,2.279,6764.77,1809.839,2.418,12,12,1306.51,4.5,5458.234,1818.559,2.283,6764.74,1821.839,2.422,12,12,1306.51,4.5
171920,B라인1번거더,5460.661,851.562,1.969,6767.167,854.842,2.108,12,12,1306.51,4.5,5460.632,863.562,1.973,6767.137,866.842,2.112,12,12,1306.51,4.5
175457,B라인1번거더,5480.67,2991.925,4.848,5480.994,5298.999,4.556,12,12,2307.074,4.5,5468.67,2991.927,4.852,5468.994,5299.0,4.56,12,12,2307.074,4.5
185570,B라인1번거더,5565.847,4318.945,6.652,6113.867,4318.868,6.472,12,12,548.02,4.5,5565.849,4330.945,6.651,6113.868,4330.868,6.47,12,12,548.02,4.5
189687,B라인1번거더,6210.995,5298.999,6.316,6210.671,2991.823,6.608,12,12,2307.176,4.5,6198.995,5299.001,6.32,6198.671,2991.825,6.612,12,12,2307.176,4.5
191912,B라인1번거더,6295.847,4318.842,6.412,6843.866,4318.765,6.232,12,12,548.019,4.5,6295.849,4330.842,6.41,6843.868,4330.765,6.23,12,12,548.02,4.5
191912,B라인1번거더,6843.866,4318.765,6.232,6558.43,4318.805,6.326,12,12,285.436,4.5,6843.868,4330.765,6.23,6558.432,4330.805,6.324,12,12,285.437,4.5
194289,B라인1번거더,6843.985,5163.765,6.125,6295.966,5163.842,6.305,12,12,548.019,4.5,6843.987,5175.765,6.123,6295.967,5175.842,6.303,12,12,548.02,4.5
198758,B라인1번거더,6814.77,1809.964,2.423,8121.276,1813.244,2.562,12,12,1306.51,4.5,6814.74,1821.964,2.427,8121.245,1825.244,2.565,12,12,1306.51,4.5
322238,B라인1번거더,2772.497,5102.78,17.439,630.278,5103.602,20.875,,,2142.221,5,2772.491,5087.78,17.439,630.272,5088.602,20.875,,,2142.221,5
325973,B라인1번거더,2533.349,4282.718,14.259,831.568,4309.555,15.526,,,1701.993,5,2533.113,4267.72,14.259,831.331,4294.557,15.526,10,10,1701.993,5
327697,B라인1번거더,854.539,2820.445,8.529,2939.643,2814.583,11.98,,,2085.115,5,854.497,2805.445,8.529,2939.601,2799.583,11.98,,,2085.115,5
329430,B라인1번거더,887.535,3573.807,11.486,3049.908,3543.192,12.294,,,2162.589,5,887.323,3558.809,11.486,3049.696,3528.193,12.294,,,2162.589,5
331163,B라인1번거더,1466.448,1784.407,9.755,3558.318,1771.913,9.476,,,2091.908,5,1466.358,1769.408,9.755,3558.228,1756.913,9.476,,,2091.908,5
332888,B라인1번거더,1474.625,372.355,12.027,3623.27,385.511,11.678,,,2148.685,5,1474.717,357.355,12.027,3623.362,370.511,11.678,,,2148.685,5
334601,B라인1번거더,1534.442,1043.464,12.25,3626.232,1043.488,12.024,,,2091.79,5,1534.442,1028.464,12.25,3626.232,1028.488,12.024,,,2091.79,5
