requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
144839,B라인3번거더,14129.597,3103.62,3.505,14113.859,5041.572,2.295,16,16,1938.016,8,14113.598,3103.49,3.498,14097.859,5041.442,2.289,16,16,1938.016,8
148461,B라인3번거더,14311.196,2582.393,2.517,14352.179,1.095,1.019,12,12,2581.624,4.5,14299.197,2582.203,2.523,14340.181,0.905,1.025,12,12,2581.624,4.5
151571,B라인3번거더,19734.193,2655.956,1.063,19716.302,0.96,-0.598,12,12,2655.057,4.5,19722.193,2656.037,1.087,19704.302,1.04,-0.574,12,12,2655.057,4.5
153961,B라인3번거더,19877.197,2792.13,4.638,19869.612,5299.018,2.997,12,12,2506.9,4.5,19865.197,2792.094,4.654,19857.612,5298.982,3.013,12,12,2506.9,4.5
933545,B라인3번거더,15041.131,2669.091,2.834,15034.233,0.984,1.976,12,12,2668.115,4.5,15029.131,2669.122,2.838,15022.233,1.016,1.98,12,12,2668.115,4.5
934784,B라인3번거더,15084.396,2886.263,3.473,15099.084,5298.963,2.951,12,12,2412.745,4.5,15072.396,2886.336,3.479,15087.084,5299.037,2.958,12,12,2412.745,4.5
935765,B라인3번거더,15771.129,2667.204,2.592,15764.236,0.984,1.735,12,12,2666.228,4.5,15759.129,2667.235,2.596,15752.236,1.016,1.738,12,12,2666.228,4.5
937504,B라인3번거더,15802.557,1289.102,2.137,16450.574,1287.427,1.922,12,12,648.02,4.5,15802.588,1301.102,2.141,16450.605,1299.427,1.926,12,12,648.02,4.5
938486,B라인3번거더,15814.384,2881.819,3.088,15829.098,5298.963,2.565,12,12,2417.189,4.5,15802.384,2881.892,3.094,15817.099,5299.036,2.571,12,12,2417.189,4.5
941290,B라인3번거더,15857.689,4247.596,2.774,16505.696,4243.651,2.432,12,12,648.02,4.5,15857.762,4259.596,2.771,16505.769,4255.651,2.429,12,12,648.02,4.5
942662,B라인3번거더,16501.127,2665.316,2.35,16494.238,0.984,1.493,12,12,2664.341,4.5,16489.127,2665.347,2.354,16482.238,1.016,1.497,12,12,2664.341,4.5
943688,B라인3번거더,16532.554,1287.215,1.895,17910.569,1283.653,1.438,12,12,1378.02,4.5,16532.585,1299.215,1.899,17910.6,1295.653,1.442,12,12,1378.02,4.5
945532,B라인3번거더,16544.37,2877.375,2.702,16559.112,5298.964,2.179,12,12,2421.633,4.5,16532.37,2877.448,2.709,16547.112,5299.037,2.185,12,12,2421.633,4.5
947314,B라인3번거더,16587.675,4243.152,2.389,17235.683,4239.207,2.047,12,12,648.02,4.5,16587.748,4255.152,2.386,17235.756,4251.207,2.044,12,12,648.02,4.5
949247,B라인3번거더,17274.356,2872.931,2.317,17289.125,5298.963,1.793,12,12,2426.077,4.5,17262.356,2873.004,2.323,17277.125,5299.036,1.799,12,12,2426.077,4.5
951038,B라인3번거더,17317.662,4238.708,2.003,17965.669,4234.763,1.661,12,12,648.02,4.5,17317.735,4250.708,2.001,17965.742,4246.763,1.659,12,12,648.02,4.5
952488,B라인3번거더,17961.122,2661.542,1.866,17954.243,0.984,1.01,12,12,2660.567,4.5,17949.122,2661.573,1.87,17942.243,1.016,1.014,12,12,2660.567,4.5
953696,B라인3번거더,17992.549,1283.441,1.411,18640.566,1281.765,1.196,12,12,648.02,4.5,17992.58,1295.441,1.415,18640.597,1293.765,1.2,12,12,648.02,4.5
955035,B라인3번거더,17994.734,2128.438,1.683,18642.751,2126.763,1.468,12,12,648.02,4.5,17994.765,2140.438,1.687,18642.782,2138.763,1.472,12,12,648.02,4.5
956949,B라인3번거더,18004.343,2868.487,1.932,18019.139,5298.964,1.406,12,12,2430.522,4.5,17992.343,2868.56,1.938,18007.139,5299.037,1.413,12,12,2430.522,4.5
958814,B라인3번거더,18042.504,3389.28,1.801,18690.511,3385.335,1.459,12,12,648.02,4.5,18042.577,3401.28,1.798,18690.584,3397.335,1.456,12,12,648.02,4.5
960651,B라인3번거더,18047.648,4234.264,1.618,18695.655,4230.319,1.276,12,12,648.02,4.5,18047.721,4246.264,1.615,18695.728,4242.319,1.273,12,12,648.02,4.5
962118,B라인3번거더,18691.117,2658.655,1.623,18684.246,0.984,0.769,12,12,2657.679,4.5,18679.117,2658.686,1.627,18672.246,1.016,0.773,12,12,2657.679,4.5
964621,B라인3번거더,18722.547,1281.553,1.169,19370.564,1279.878,0.954,12,12,648.02,4.5,18722.578,1293.553,1.173,19370.595,1291.878,0.958,12,12,648.02,4.5
966580,B라인3번거더,18734.335,2865.043,1.546,18749.152,5298.964,1.02,12,12,2433.966,4.5,18722.335,2865.116,1.552,18737.152,5299.037,1.026,12,12,2433.966,4.5
968795,B라인3번거더,18777.634,4229.82,1.233,19425.642,4225.875,0.891,12,12,648.019,4.5,18777.707,4241.82,1.23,19425.715,4237.875,0.888,12,12,648.019,4.5
969966,B라인3번거더,19421.113,2656.768,-0.619,19414.247,0.984,-1.472,12,12,2655.793,4.5,19409.113,2656.799,-0.615,19402.247,1.016,-1.468,12,12,2655.793,4.5
971121,B라인3번거더,19450.328,422.654,-1.348,20098.345,420.979,-1.563,12,12,648.02,4.5,19450.359,434.654,-1.345,20098.376,432.979,-1.559,12,12,648.02,4.5
972216,B라인3번거더,19452.544,1279.667,-1.073,20100.561,1277.992,-1.288,12,12,648.02,4.5,19452.575,1291.667,-1.069,20100.592,1289.992,-1.284,12,12,648.02,4.5
