requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
429926,B라인2번거더,8841.772,2370.42,1.732,8921.172,0.799,-0.644,12,12,2370.952,4.5,8853.766,2370.822,1.738,8933.165,1.2,-0.638,12,12,2370.952,4.5
430998,B라인2번거더,8919.747,1446.502,0.828,9697.33,1472.556,1.22,12,12,778.02,4.5,8920.149,1434.508,0.816,9697.732,1460.563,1.208,12,12,778.02,4.5
431906,B라인2번거더,9728.374,546.076,0.291,8950.791,520.022,-0.101,12,12,778.02,4.5,9728.775,534.083,0.279,8951.192,508.029,-0.113,12,12,778.02,4.5
433303,B라인2번거더,9280.832,3845.374,1.475,9253.748,4522.852,0.933,12,12,678.02,4.5,9292.823,3845.854,1.481,9265.739,4523.332,0.939,12,12,678.02,4.5
434456,B라인2번거더,10524.263,2473.809,2.63,9295.004,2432.621,2.009,12,12,1229.949,4.5,10524.665,2461.816,2.618,9295.406,2420.628,1.997,12,12,1229.949,4.5
435408,B라인2번거더,9701.29,2399.22,2.166,9781.654,0.799,-0.239,12,12,2399.768,4.5,9713.283,2399.621,2.172,9793.647,1.2,-0.233,12,12,2399.768,4.5
436316,B라인2번거더,10207.092,3882.405,1.94,10180.008,4559.883,1.397,12,12,678.02,4.5,10219.083,3882.884,1.946,10191.998,4560.362,1.403,12,12,678.02,4.5
441406,B라인2번거더,11547.599,2105.839,7.059,11610.069,609.963,6.021,14,14,1497.18,6.5,11533.611,2105.256,7.08,11596.081,609.378,6.042,14,14,1497.182,6.5
442606,B라인2번거더,11563.758,2972.921,2.89,11631.126,5298.827,5.087,12,12,2326.883,4.5,11551.763,2973.268,2.889,11619.131,5299.174,5.086,12,12,2326.883,4.5
446730,B라인2번거더,11957.005,3424.736,3.365,12002.836,5007.07,4.859,12,12,1582.998,4.5,11945.01,3425.084,3.363,11990.841,5007.417,4.858,12,12,1582.998,4.5
451485,B라인2번거더,12280.023,1986.111,5.851,12276.302,2123.064,5.943,14,14,137.003,6.5,12266.027,1985.731,5.872,12262.306,2122.682,5.964,14,14,137.001,6.5
456558,B라인2번거더,12266.407,1971.736,5.863,12283.682,1335.967,5.436,14,14,636.004,6.5,12280.403,1972.117,5.841,12297.678,1336.347,5.415,14,14,636.004,6.5
461646,B라인2번거더,12284.062,1321.972,5.427,12301.337,686.203,5.0,14,14,636.004,6.5,12298.058,1322.353,5.405,12315.333,686.583,4.979,14,14,636.004,6.5
465690,B라인2번거더,12297.678,1336.347,5.415,12949.467,1351.766,4.416,14,14,651.972,6.5,12298.058,1322.353,5.405,12949.798,1337.77,4.407,14,14,651.923,6.5
467958,B라인2번거더,12310.064,1986.822,5.805,12934.095,2001.584,4.849,14,14,624.207,6.5,12310.395,1972.826,5.795,12934.426,1987.588,4.84,14,14,624.207,6.5
470127,B라인2번거더,12345.324,687.293,4.933,12964.838,701.948,3.984,14,14,619.688,6.5,12345.655,673.297,4.923,12965.169,687.952,3.975,14,14,619.688,6.5
474538,B라인2번거더,12686.699,3403.607,3.436,12732.53,4985.935,4.931,12,12,1582.992,4.5,12674.704,3403.954,3.435,12720.535,4986.282,4.93,12,12,1582.992,4.5
475797,B라인2번거더,13781.889,4484.373,2.682,15605.199,4534.854,1.563,12,12,1824.009,4.5,13781.557,4496.368,2.683,15604.867,4546.85,1.564,12,12,1824.009,4.5
476807,B라인2번거더,15629.001,3675.184,1.452,13805.69,3624.702,2.571,12,12,1824.01,4.5,15628.669,3687.179,1.454,13805.358,3636.698,2.573,12,12,1824.01,4.5
478371,B라인2번거더,15532.914,1667.552,-0.793,13833.273,1599.346,-1.289,12,12,1701.009,4.5,15532.433,1679.543,-0.794,13832.792,1611.337,-1.29,12,12,1701.009,4.5
479638,B라인2번거더,15299.614,797.498,-0.782,13867.757,740.038,-1.2,12,12,1433.01,4.5,15299.133,809.488,-0.784,13867.276,752.028,-1.202,12,12,1433.01,4.5
480926,B라인2번거더,14407.44,858.764,-1.052,14380.253,1536.238,-1.121,12,12,678.02,4.5,14395.45,858.282,-1.055,14368.263,1535.757,-1.125,12,12,678.02,4.5
