requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
390803,B라인1번거더,3380.223,1132.067,5.129,2868.372,1141.06,5.357,14,14,511.93,6.5,3380.517,1146.064,5.128,2868.618,1155.057,5.356,14,14,511.979,6.5
393094,B라인1번거더,2879.79,1790.959,5.31,3393.919,1781.927,5.082,14,14,514.209,6.5,2880.036,1804.957,5.309,3394.214,1795.924,5.081,14,14,514.258,6.5
397979,B라인1번거더,3482.309,1040.211,5.09,3472.7,584.308,5.123,14,14,456.004,6.5,3468.312,1040.506,5.096,3458.703,584.603,5.129,14,14,456.004,6.5
402376,B라인1번거더,3472.4,1234.463,5.082,3482.009,1690.366,5.049,14,14,456.004,6.5,3486.397,1234.168,5.076,3496.006,1690.071,5.042,14,14,456.004,6.5
404471,B라인1번거더,3824.469,4925.482,37.043,4559.023,5024.578,41.507,,,741.222,5,3826.475,4910.617,37.043,4561.029,5009.712,41.507,,,741.222,5
406046,B라인1번거더,3992.604,4395.921,34.457,4719.188,4478.471,40.686,,,731.284,5,3994.298,4381.017,34.457,4720.881,4463.566,40.686,,,731.284,5
407547,B라인1번거더,4140.889,3874.793,37.842,4867.113,3955.265,40.896,,,730.675,5,4142.541,3859.884,37.842,4868.765,3940.356,40.896,,,730.675,5
412593,B라인1번거더,4214.104,1868.556,4.711,4164.337,471.732,4.822,14,14,1397.711,6.5,4228.095,1868.058,4.705,4178.329,471.234,4.816,14,14,1397.711,6.5
414107,B라인1번거더,5226.951,4883.478,42.009,5929.692,4795.584,38.953,,,708.224,5,5225.089,4868.594,42.009,5927.831,4780.7,38.953,,,708.224,5
415281,B라인1번거더,5909.077,2389.062,0.695,5960.399,0.871,2.501,12,12,2388.744,4.5,5921.074,2389.32,0.706,5972.396,1.129,2.512,12,12,2388.744,4.5
419437,B라인1번거더,6298.938,1934.322,1.394,6330.8,451.667,2.515,12,12,1482.998,4.5,6310.935,1934.58,1.405,6342.797,451.925,2.526,12,12,1482.998,4.5
420953,B라인1번거더,6339.972,3287.801,43.597,7139.176,3283.75,48.879,,,799.232,5,6339.896,3272.801,43.597,7139.1,3268.751,48.879,,,799.232,5
422432,B라인1번거더,7106.49,4797.073,42.293,6425.773,4983.67,37.495,,,705.845,5,7102.525,4782.606,42.293,6421.808,4969.204,37.495,,,705.845,5
423889,B라인1번거더,6478.491,4438.426,33.921,7116.5,4133.436,32.075,,,707.162,5,6484.96,4451.959,33.921,7122.97,4146.97,32.075,,,707.162,5
428194,B라인1번거더,7028.769,1950.001,2.064,7060.631,467.351,3.185,12,12,1482.992,4.5,7040.766,1950.259,2.075,7072.628,467.609,3.196,12,12,1482.992,4.5
871959,B라인1번거더,438.21,2926.268,8.301,446.798,5299.022,8.733,12,12,2372.77,4.5,450.21,2926.224,8.297,458.798,5298.978,8.728,12,12,2372.77,4.5
